username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BelloMatheus;2016-04-25 23:21;0;0;"O tema do trabalho era Bullying, tentei trazer para nossa atual situação. Ao fim do trabalho… https://www.instagram.com/p/BEpYKI4w0lR/";;;;"724785519557771264";https://twitter.com/BelloMatheus/status/724785519557771264
luciapina;2016-01-08 12:23;0;0;"Você sai de "férias" mas o bullying continua no trabalho # kanui # kanuibr # dafiti @Belém,… https://www.instagram.com/p/BASAFsYmFv-/";;@Bel;# # #;"685466833034567680";https://twitter.com/luciapina/status/685466833034567680
RahCCM;2015-11-04 23:12;0;0;"Trabalho sobre bullying finalizado @FCL/Ar-UNESP Universidade… https://instagram.com/p/9r5nYmThwzrTnxBK3v442lLTFwuqJhdnsIAZQ0/ …";;@FCL;;"662090174998962176";https://twitter.com/RahCCM/status/662090174998962176
admilsonalmeida;2015-10-05 12:50;0;0;"# Contribuição para o # trabalho da minha # filha sobre # bullying @Asa Norte - Brasila DF https://instagram.com/p/8dijjAIJer/";;@Asa;# # # #;"651061937883738112";https://twitter.com/admilsonalmeida/status/651061937883738112
wvidal1906;2015-09-04 11:06;0;0;"Bullying no trabalho. @GGP - Gugu Liberato Produções https://instagram.com/p/7NiCqqvmvDHENfR50hjSQyW2yObIf5IIuBTt00/ …";;@GGP;;"639801808374886400";https://twitter.com/wvidal1906/status/639801808374886400
Gabi_Oliimpio;2015-08-12 22:24;0;0;"Meu trabalho de artes vai ser sobre o documentário "Bullying Fatal" .. # MPN # CABELOSDEALGODÃO";;;# #;"631637466286587904";https://twitter.com/Gabi_Oliimpio/status/631637466286587904
hhaydee;2015-06-24 23:12;0;0;"Sabe aquele bullying que todo mundo já ouviu que alguém já sofreu alguma vez no trabalho? Surreal e… https://instagram.com/p/4Vb0R1vZFc/";;;;"613892422012116992";https://twitter.com/hhaydee/status/613892422012116992
maiconborgesbds;2015-06-11 18:47;1;1;"Caralho .. Tava fazendo trabalho de bullying me lembrei de quando a 84 zuou a nataly ... Kkkkkkkkkkkkkkkk fiz o trabalho pensando nela";;;;"609114831996788736";https://twitter.com/maiconborgesbds/status/609114831996788736
geragoncalves;2015-05-22 19:45;0;1;"bullying no trabalho. parada triste, sabe @b!ferraz https://instagram.com/p/3AF63SgVot/";;@b;;"601881582773936128";https://twitter.com/geragoncalves/status/601881582773936128
TREVOSAGABI;2015-05-19 11:22;0;0;""Eu vou comprar um espelho enorme, do meu tamanho" "Mas como o espelho vai ser enorme e do seu tamanho?" Eu sofrendo bullying no trabalho.";;;;"600667759601651712";https://twitter.com/TREVOSAGABI/status/600667759601651712
ohsourtimes;2015-04-14 01:16;0;0;"Gente eu ando sofrendo muito bullying no trabalho :(";;;;"587831889416867840";https://twitter.com/ohsourtimes/status/587831889416867840
andreoliveeira;2015-04-10 15:50;0;0;"Sofrendo bullying no trabalho @Ediouro https://instagram.com/p/1Thq77Hs-w/";;@Ediouro;;"586602222894641152";https://twitter.com/andreoliveeira/status/586602222894641152
NuckZ__;2015-03-26 19:17;0;0;"O bullying com a colega de trabalho que faz arquitetura foi hard.";;;;"581218452263845888";https://twitter.com/NuckZ__/status/581218452263845888
ManuellaSalles2;2015-03-22 23:27;0;1;"Sofro bullying no trabalho por ser baiana.";;;;"579831856381739009";https://twitter.com/ManuellaSalles2/status/579831856381739009
negherbonn;2015-03-12 01:55;0;0;"Hoje eu estava escutando Two Dor Cinema Club no trabalho, sofri bullying.";;;;"575882846046449664";https://twitter.com/negherbonn/status/575882846046449664
gamabitch;2015-03-09 16:55;0;0;"@ slp_be terminei de fazer um trabalho sobre o bullying agr";;@;;"575022188664913920";https://twitter.com/gamabitch/status/575022188664913920
gabem_;2015-03-06 18:34;0;0;"sofrendo bullying no trabalho @ marcelossoarespic.twitter.com/kfVEf8agD9";;@;;"573959790189215744";https://twitter.com/gabem_/status/573959790189215744
fffferz;2015-02-27 17:39;0;0;"Pra não ser comum, segundo os colegas # trabalho # bullying # nadacomum @CISA https://instagram.com/p/znksZohCo3/";;@CISA;# # #;"571409221482352641";https://twitter.com/fffferz/status/571409221482352641
